School District,Category,Pre-K Applicants,Pre-K Offers,Kindergarten Applicants,Kindergarten Offers,Grade 6 Applicants,Grade 6 Offers,Grade 9 Applicants,Grade 9 Offers
2,Home Language is CHINESE-DIALECT UNKNOWN/OTHER,N/A,N/A,N/A,N/A,s,s,77,11
2,Home Language is CHINESE/ANY-SPANISH,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is CZECH,N/A,N/A,N/A,N/A,s,s,6,s
2,Home Language is DANISH,N/A,N/A,N/A,N/A,7,s^,s,s
2,Home Language is DARI/FARSI/PERSIAN,N/A,N/A,N/A,N/A,s,s,7,s
2,Home Language is DEJULA,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is DUTCH,N/A,N/A,N/A,N/A,s,s,9,s
2,Home Language is DZONGKHA,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is ENGLISH,N/A,N/A,N/A,N/A,"3,858","2,180","24,165","6,515"
2,Home Language is ESTONIAN,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is EWE,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is FANTI,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is FINNISH,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is FON,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is FRENCH,N/A,N/A,N/A,N/A,64,25,221,66
2,Home Language is FRENCH-HAITIAN CREOLE,N/A,N/A,N/A,N/A,s,s,25,s
2,Home Language is FRENCH-KHMER,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is FULANI,N/A,N/A,N/A,N/A,s,s,81,25
2,Home Language is GA,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is GEORGIAN,N/A,N/A,N/A,N/A,s,s,34,s
2,Home Language is GERMAN,N/A,N/A,N/A,N/A,8,s^,20,7
2,Home Language is GREEK,N/A,N/A,N/A,N/A,s,s,23,s
2,Home Language is GUARANI,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is GUJARATI,N/A,N/A,N/A,N/A,s,s,38,s
2,Home Language is GURMA,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is HAITIAN CREOLE,N/A,N/A,N/A,N/A,s,s,119,10
2,Home Language is HAUSA,N/A,N/A,N/A,N/A,s,s,18,s
2,Home Language is HEBREW,N/A,N/A,N/A,N/A,30,20,43,23
2,Home Language is HINDI,N/A,N/A,N/A,N/A,s,s,48,8
2,Home Language is HUNGARIAN,N/A,N/A,N/A,N/A,s,s,10,s
2,Home Language is IBO,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is ICELANDIC,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is INDONESIAN,N/A,N/A,N/A,N/A,s,s,19,s
2,Home Language is ITALIAN,N/A,N/A,N/A,N/A,17,10,43,20
2,Home Language is JAMAICAN-CREOLE,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is JAPANESE,N/A,N/A,N/A,N/A,54,36,60,27
2,Home Language is KANNADA,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is KAZAKH,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is KHMER,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is KHOWAN,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is KOREAN,N/A,N/A,N/A,N/A,13,s^,207,34
2,Home Language is KRIO,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is LAO,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is LUGANDA,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is MACEDONIAN,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is MALAY,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is MALAYALAM,N/A,N/A,N/A,N/A,s,s,8,s
2,Home Language is MALINKE,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is MANDARIN,N/A,N/A,N/A,N/A,170,140,"1,328",261
2,Home Language is MANDINGO,N/A,N/A,N/A,N/A,s,s,43,8
2,Home Language is MARATHI,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is MOHAWK,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is MOLDAVIAN,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is MONGOLIAN,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is MOSSI,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is NEPALI,N/A,N/A,N/A,N/A,s,s,90,15
2,Home Language is NIGER-CONGO,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is PALAUAN,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is PASHTO,N/A,N/A,N/A,N/A,s,s,14,s
2,Home Language is PILIPINO,N/A,N/A,N/A,N/A,s,s,51,6
2,Home Language is POLISH,N/A,N/A,N/A,N/A,11,s,187,36
2,Home Language is PORTUGUESE,N/A,N/A,N/A,N/A,18,s^,41,18
2,Home Language is PUNJABI,N/A,N/A,N/A,N/A,s,s,98,7
2,Home Language is QUECHUA,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is ROMANIAN,N/A,N/A,N/A,N/A,s,s,27,s
2,Home Language is RUSSIAN,N/A,N/A,N/A,N/A,60,37,582,81
2,Home Language is RUSSIAN-YIDDISH,N/A,N/A,N/A,N/A,s,s,7,s
2,Home Language is SENECA,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is SERBO-CROATIAN,N/A,N/A,N/A,N/A,7,s^,29,14
2,Home Language is SIDAMO,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is SINDHI,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is SINHALESE,N/A,N/A,N/A,N/A,s,s,9,s
2,Home Language is SLOVAK,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is SLOVENIAN,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is SONINKE,N/A,N/A,N/A,N/A,s,s,36,6
2,Home Language is SPANISH,N/A,N/A,N/A,N/A,284,135,"7,885","2,172"
2,Home Language is SUNDANESE,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is SWAHILI,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is SWEDISH,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is TADZHIK,N/A,N/A,N/A,N/A,s,s,23,s
2,Home Language is TAMIL,N/A,N/A,N/A,N/A,s,s,10,s
